name,scn_name,v_nom,carrier,x,y,country,control,generator
0,eGon2035,380.0,AC,13.60427444018489,47.549498217049525,AT,Slack,43761 load shedding
1,eGon2035,380.0,AC,4.798653786209867,50.74318840599844,BE,Slack,43762 coal
10,eGon2035,380.0,AC,18.902232738057837,51.57212911875295,PL,Slack,43773 coal
11,eGon2035,380.0,AC,16.277634034498558,61.35776074926747,SE,Slack,43774 load shedding
2,eGon2035,380.0,AC,8.207947631625533,46.82343065666129,CH,Slack,43763 load shedding
3,eGon2035,380.0,AC,15.238200383770577,49.84255074731976,CZ,Slack,43764 coal
36278,eGon2035,110.0,dsm,9.848406980776952,51.271920109901586,DE,Slack,36278 load shedding
4,eGon2035,380.0,AC,9.58171836408456,51.30581544532886,DE,Slack,0 biomass
48623,eGon2035,1.0,CH4,13.60427444018489,47.549498217049525,AT,Slack,48623 CH4
48624,eGon2035,1.0,CH4,4.798653786209867,50.74318840599844,BE,Slack,48624 CH4
48625,eGon2035,1.0,CH4,8.207947631625533,46.82343065666129,CH,Slack,48625 load shedding
48626,eGon2035,1.0,CH4,15.238200383770577,49.84255074731976,CZ,Slack,48626 CH4
48627,eGon2035,1.0,CH4,9.73224872983087,55.99042991134832,DK,Slack,48627 CH4
48628,eGon2035,1.0,CH4,3.1555151587908,46.808684469407666,FR,Slack,48628 CH4
48629,eGon2035,1.0,CH4,-6.097540942585511,54.6687787490669,GB,Slack,48629 CH4
48630,eGon2035,1.0,CH4,6.130510690868267,49.6773404049915,LU,Slack,48630 CH4
48631,eGon2035,1.0,CH4,5.55144817647059,52.374286058823536,NL,Slack,48631 CH4
48632,eGon2035,1.0,CH4,8.605317995983397,60.97891064521747,NO,Slack,48632 load shedding
48633,eGon2035,1.0,CH4,18.902232738057837,51.57212911875295,PL,Slack,48633 CH4
48634,eGon2035,1.0,CH4,16.277634034498558,61.35776074926747,SE,Slack,48634 CH4
48636,eGon2035,1.0,CH4,41.0,55.0,RU,Slack,48636 CH4
48637,eGon2035,1.0,H2_saltcavern,10.03585606465479,52.48215143116975,DE,Slack,48637 load shedding
49604,eGon2035,1.0,central_heat,11.57240578601486,48.132056085526024,DE,Slack,49604 central_biomass_CHP_heat
49934,eGon2035,1.0,central_heat,9.191771289500938,48.79624047948293,DE,Slack,49934 load shedding
5,eGon2035,380.0,AC,11.008111579217836,55.750166227541925,DK,Slack,43765 coal
51537,eGon2035,1.0,central_heat,9.746105584749486,52.37765664349349,DE,Slack,51537 central_biomass_CHP_heat
51728,eGon2035,1.0,central_heat,8.863052332147221,53.082576761821436,DE,Slack,51728 load shedding
52023,eGon2035,1.0,rural_heat,9.847599517231743,51.27535524993904,DE,Slack,52023 load shedding
6,eGon2035,380.0,AC,3.1555151587908,46.808684469407666,FR,Slack,43767 load shedding
63629,eGon2035,1.0,central_heat_store,11.57240578601486,48.132056085526024,DE,Slack,63629 load shedding
63959,eGon2035,1.0,central_heat_store,9.191771289500938,48.79624047948293,DE,Slack,63959 load shedding
65562,eGon2035,1.0,central_heat_store,9.746105584749486,52.37765664349349,DE,Slack,65562 load shedding
65753,eGon2035,1.0,central_heat_store,8.863052332147221,53.082576761821436,DE,Slack,65753 load shedding
66048,eGon2035,1.0,rural_heat_store,9.847599517231743,51.27535524993904,DE,Slack,66048 load shedding
69893,eGon2035,1.0,Li ion,9.848129044086257,51.27454729687608,DE,Slack,69893 load shedding
7,eGon2035,380.0,AC,-4.036611166043771,53.97543323566312,GB,Slack,43768 lignite
70568,eGon2035,1.0,CH4,9.809392,50.787905,DE,Slack,70568 CH4_NG
70582,eGon2035,1.0,H2_grid,9.809392,50.787905,DE,Slack,70582 load shedding
70583,eGon2035,1.0,central_heat,10.237465724551141,48.31676912828797,DE,Slack,70583 central_biomass_CHP_heat
70584,eGon2035,1.0,central_heat,8.812428890703782,48.45260704313182,DE,Slack,70584 central_biomass_CHP_heat
70585,eGon2035,1.0,central_heat,12.153038514324244,48.78570758504748,DE,Slack,70585 central_biomass_CHP_heat
70587,eGon2035,1.0,central_heat,8.560545240741547,49.74490117393491,DE,Slack,70587 central_biomass_CHP_heat
70589,eGon2035,1.0,central_heat,7.086514746485726,49.81955720309272,DE,Slack,70589 central_biomass_CHP_heat
70590,eGon2035,1.0,central_heat,11.60840096209489,50.75098116023967,DE,Slack,70590 central_biomass_CHP_heat
70591,eGon2035,1.0,central_heat,7.079823162280594,51.19255337301936,DE,Slack,70591 central_biomass_CHP_heat
70592,eGon2035,1.0,central_heat,8.601726029591383,52.148891611542204,DE,Slack,70592 central_biomass_CHP_heat
70593,eGon2035,1.0,central_heat,9.37285643441319,51.248321765013564,DE,Slack,70593 central_biomass_CHP_heat
70594,eGon2035,1.0,central_heat,13.32547282823223,51.32008886416766,DE,Slack,70594 central_biomass_CHP_heat
70595,eGon2035,1.0,central_heat,9.975559348201275,52.822349365046136,DE,Slack,70595 central_biomass_CHP_heat
70596,eGon2035,1.0,central_heat,13.629528480554507,52.883029971891325,DE,Slack,70596 central_biomass_CHP_heat
70597,eGon2035,1.0,central_heat,12.205579837939823,53.015149415935895,DE,Slack,70597 central_biomass_CHP_heat
70598,eGon2035,1.0,central_heat,7.452733289195281,53.209986501694715,DE,Slack,70598 central_biomass_CHP_heat
70599,eGon2035,1.0,central_heat,9.825990145434394,54.09342552711921,DE,Slack,70599 central_biomass_CHP_heat
70601,eGon2035,1.0,central_heat,8.273784480503467,53.21484831556757,DE,Slack,70601 central_biomass_CHP_heat
70602,eGon2035,1.0,central_heat,13.300403450509997,52.57320473055236,DE,Slack,70602 central_biomass_CHP_heat
70604,eGon2035,1.0,central_heat,10.353058425759421,53.720685031300505,DE,Slack,70604 central_biomass_CHP_heat
70605,eGon2035,1.0,central_heat_store,10.237465724551141,48.31676912828797,DE,Slack,70605 load shedding
70606,eGon2035,1.0,central_heat_store,8.812428890703782,48.45260704313182,DE,Slack,70606 load shedding
70607,eGon2035,1.0,central_heat_store,12.153038514324244,48.78570758504748,DE,Slack,70607 load shedding
70608,eGon2035,1.0,central_heat_store,8.560545240741547,49.74490117393491,DE,Slack,70608 load shedding
70609,eGon2035,1.0,central_heat_store,7.086514746485726,49.81955720309272,DE,Slack,70609 load shedding
70610,eGon2035,1.0,central_heat_store,11.60840096209489,50.75098116023967,DE,Slack,70610 load shedding
70611,eGon2035,1.0,central_heat_store,7.079823162280594,51.19255337301936,DE,Slack,70611 load shedding
70612,eGon2035,1.0,central_heat_store,8.601726029591383,52.148891611542204,DE,Slack,70612 load shedding
70613,eGon2035,1.0,central_heat_store,9.37285643441319,51.248321765013564,DE,Slack,70613 load shedding
70614,eGon2035,1.0,central_heat_store,13.32547282823223,51.32008886416766,DE,Slack,70614 load shedding
70615,eGon2035,1.0,central_heat_store,9.975559348201275,52.822349365046136,DE,Slack,70615 load shedding
70616,eGon2035,1.0,central_heat_store,13.629528480554507,52.883029971891325,DE,Slack,70616 load shedding
70617,eGon2035,1.0,central_heat_store,12.205579837939823,53.015149415935895,DE,Slack,70617 load shedding
70618,eGon2035,1.0,central_heat_store,7.452733289195281,53.209986501694715,DE,Slack,70618 load shedding
70619,eGon2035,1.0,central_heat_store,9.825990145434394,54.09342552711921,DE,Slack,70619 load shedding
70620,eGon2035,1.0,central_heat_store,8.273784480503467,53.21484831556757,DE,Slack,70620 load shedding
70621,eGon2035,1.0,central_heat_store,13.300403450509997,52.57320473055236,DE,Slack,70621 load shedding
70622,eGon2035,1.0,central_heat_store,10.353058425759421,53.720685031300505,DE,Slack,70622 load shedding
8,eGon2035,380.0,AC,5.55144817647059,52.374286058823536,NL,Slack,43771 load shedding
9,eGon2035,380.0,AC,8.605317995983397,60.97891064521747,NO,Slack,43772 load shedding
